"key","name","entity_type","cui","count"
"C0038001","Structure of splenic vein","BIOLOGICAL_STRUCTURE","C0038001","1"
"C0038056","Sputum","BIOLOGICAL_STRUCTURE","C0038056","2"
"C0038172","Staphylococcus aureus","DISEASE_DISORDER","C0038172","1"
"C0038257","Stent, device","THERAPEUTIC_PROCEDURE","C0038257","3"
"C0038288","Sexual sterilization","NONBIOLOGICAL_LOCATION","C0038288","1"
"C0038293","Sternum","BIOLOGICAL_STRUCTURE","C0038293","4"
"C0038348","Compression Stockings","THERAPEUTIC_PROCEDURE","C0038348","2"
"C0038351","Stomach","BIOLOGICAL_STRUCTURE","C0038351","3"
"C0038363","Aphthous Stomatitis","DISEASE_DISORDER","C0038363","1"
"C0038379","Strabismus","DISEASE_DISORDER","C0038379","1"
"C0038410","Streptococcus pneumoniae","OTHER_ENTITY","C0038410","2"
"C0038454","Cerebrovascular accident","DISEASE_DISORDER","C0038454","7"
"C0038530","Structure of subclavian artery","BIOLOGICAL_STRUCTURE","C0038530","1"
"C0038556","Submandibular gland","BIOLOGICAL_STRUCTURE","C0038556","4"
"C0038558","Submandibular Gland Neoplasms","BIOLOGICAL_STRUCTURE","C0038558","1"
"C0038638","Suction drainage","THERAPEUTIC_PROCEDURE","C0038638","9"
"C0038833","Superior Vena Cava Syndrome","DISEASE_DISORDER","C0038833","1"
"C0038894","Surgery specialty","THERAPEUTIC_PROCEDURE","C0038894","11"
"C0038896","Surgery Department, Hospital","NONBIOLOGICAL_LOCATION","C0038896","3"
"C0038925","Surgical Flaps","BIOLOGICAL_STRUCTURE","C0038925","1"
"C0038951","Surveys","QUANTITATIVE_CONCEPT","C0038951","2"
"C0038999","Swelling","SIGN_SYMPTOM","C0038999","2"
"C0039070","Syncope","SIGN_SYMPTOM","C0039070","4"
"C0039142","Syringes","NONBIOLOGICAL_LOCATION","C0039142","1"
"C0039155","Systole","SIGN_SYMPTOM","C0039155","2"
"C0039225","Tablet Dosage Form","ADMINISTRATION","C0039225","5"
"C0039239","Sinus Tachycardia","DISEASE_DISORDER","C0039239","1"
"C0039286","tamoxifen","MEDICATION","C0039286","2"
"C0039457","Telephone","ACTIVITY","C0039457","5"
"C0039585","Androgen-Insensitivity Syndrome","DISEASE_DISORDER","C0039585","1"
"C0039593","Testing","DIAGNOSTIC_PROCEDURE","C0039593","2"
"C0039685","Tetralogy of Fallot","DISEASE_DISORDER","C0039685","4"
"C0039798","therapeutic aspects","THERAPEUTIC_PROCEDURE","C0039798","96"
"C0039866","Thigh structure","AREA","C0039866","2"
"C0039985","Plain chest X-ray","DIAGNOSTIC_PROCEDURE","C0039985","6"
"C0039986","Thoracic Surgery Specialty","NONBIOLOGICAL_LOCATION","C0039986","4"
"C0039987","Bone structure of thoracic vertebra","BIOLOGICAL_STRUCTURE","C0039987","1"
"C0040034","Thrombocytopenia","DISEASE_DISORDER","C0040034","4"
"C0040053","Thrombosis","DISEASE_DISORDER","C0040053","7"
"C0040128","Thyroid Diseases","NONBIOLOGICAL_LOCATION","C0040128","1"
"C0040132","Thyroid Gland","BIOLOGICAL_STRUCTURE","C0040132","88"
"C0040135","Thyroid Hormones","DIAGNOSTIC_PROCEDURE","C0040135","1"
"C0040137","Thyroid Nodule","SIGN_SYMPTOM","C0040137","1"
"C0040145","Thyroidectomy","THERAPEUTIC_PROCEDURE","C0040145","3"
"C0040160","thyrotropin","DIAGNOSTIC_PROCEDURE","C0040160","1"
"C0040184","Bone structure of tibia","BIOLOGICAL_STRUCTURE","C0040184","1"
"C0040278","Tissue Banks","NONBIOLOGICAL_LOCATION","C0040278","1"
"C0040300","Body tissue","BIOLOGICAL_STRUCTURE","C0040300","3"
"C0040357","Toes","BIOLOGICAL_STRUCTURE","C0040357","1"
"C0040405","X-Ray Computed Tomography","DIAGNOSTIC_PROCEDURE","C0040405","3"
"C0040408","Tongue","BIOLOGICAL_STRUCTURE","C0040408","10"
"C0040421","Palatine Tonsil","BIOLOGICAL_STRUCTURE","C0040421","9"
"C0040423","Tonsillectomy","THERAPEUTIC_PROCEDURE","C0040423","2"
"C0040429","Apex of tooth","BIOLOGICAL_STRUCTURE","C0040429","1"
"C0040519","Tourniquets","THERAPEUTIC_PROCEDURE","C0040519","2"
"C0040541","Toxicology","NONBIOLOGICAL_LOCATION","C0040541","1"
"C0040578","Trachea","BIOLOGICAL_STRUCTURE","C0040578","1"
"C0040590","Tracheostomy procedure","BIOLOGICAL_STRUCTURE","C0040590","2"
"C0040607","Training Programs","THERAPEUTIC_PROCEDURE","C0040607","1"
"C0040615","Antipsychotic Agents","MEDICATION","C0040615","2"
"C0040704","Transient Population Group","DETAILED_DESCRIPTION","C0040704","1"
"C0040732","Transplantation","THERAPEUTIC_PROCEDURE","C0040732","6"
"C0040771","Transurethral Resection of Prostate","THERAPEUTIC_PROCEDURE","C0040771","4"
"C0040822","Tremor","SIGN_SYMPTOM","C0040822","2"
"C0040960","Tricuspid valve structure","BIOLOGICAL_STRUCTURE","C0040960","1"
"C0040961","Tricuspid Valve Insufficiency","SIGN_SYMPTOM","C0040961","6"
"C0041004","Triglycerides","LAB_VALUE","C0041004","1"
"C0041159","Trochlear nerve structure","BIOLOGICAL_STRUCTURE","C0041159","2"
"C0041199","Troponin","SIGN_SYMPTOM","C0041199","2"
"C0041296","Tuberculosis","DIAGNOSTIC_PROCEDURE","C0041296","7"
"C0041341","Tuberous Sclerosis","DISEASE_DISORDER","C0041341","1"
"C0041364","Tumor Lysis Syndrome","DISEASE_DISORDER","C0041364","1"
"C0041365","Tumor Markers","DIAGNOSTIC_PROCEDURE","C0041365","2"
"C0041445","Tympanic membrane structure","BIOLOGICAL_STRUCTURE","C0041445","2"
"C0041582","Ulcer","SIGN_SYMPTOM","C0041582","5"
"C0041618","Ultrasonography","DIAGNOSTIC_PROCEDURE","C0041618","26"
"C0041654","Unconscious Personality Factor","SIGN_SYMPTOM","C0041654","3"
"C0041657","Unconscious State","SIGN_SYMPTOM","C0041657","5"
"C0041834","Erythema","SIGN_SYMPTOM","C0041834","2"
"C0041912","Upper Respiratory Infections","DISEASE_DISORDER","C0041912","1"
"C0042014","Urinalysis","DIAGNOSTIC_PROCEDURE","C0042014","2"
"C0042019","Urinary Catheterization","THERAPEUTIC_PROCEDURE","C0042019","6"
"C0042024","Urinary Incontinence","SIGN_SYMPTOM","C0042024","1"
"C0042029","Urinary tract infection","DISEASE_DISORDER","C0042029","1"
"C0042036","Urine","BIOLOGICAL_STRUCTURE","C0042036","4"
"C0042059","Urodynamics","NONBIOLOGICAL_LOCATION","C0042059","1"
"C0042173","Uvula of palate","BIOLOGICAL_STRUCTURE","C0042173","1"
"C0042196","Vaccination","THERAPEUTIC_PROCEDURE","C0042196","3"
"C0042200","Influenza vaccination","THERAPEUTIC_PROCEDURE","C0042200","2"
"C0042276","Vagus nerve structure","BIOLOGICAL_STRUCTURE","C0042276","2"
"C0042291","valproic acid","BIOLOGICAL_STRUCTURE","C0042291","1"
"C0042313","vancomycin","MEDICATION","C0042313","5"
"C0042373","Vascular Diseases","NONBIOLOGICAL_LOCATION","C0042373","1"
"C0042381","Vascular Surgical Procedures","NONBIOLOGICAL_LOCATION","C0042381","4"
"C0042420","Vasovagal syncope","DISEASE_DISORDER","C0042420","3"
"C0042449","Veins","BIOLOGICAL_STRUCTURE","C0042449","4"
"C0042458","Inferior vena cava structure","BIOLOGICAL_STRUCTURE","C0042458","3"
"C0042491","Environmental air flow","THERAPEUTIC_PROCEDURE","C0042491","4"
"C0042510","Ventricular Fibrillation","DISEASE_DISORDER","C0042510","3"
"C0042514","Tachycardia, Ventricular","DISEASE_DISORDER","C0042514","2"
"C0042682","vindesine","DISEASE_DISORDER","C0042682","1"
"C0042779","Viscera","BIOLOGICAL_STRUCTURE","C0042779","3"
"C0042845","vitamin B12","MEDICATION","C0042845","3"
"C0042930","Vocal cord structure","BIOLOGICAL_STRUCTURE","C0042930","1"
"C0042963","Vomiting","SIGN_SYMPTOM","C0042963","2"
"C0043047","water","MEDICATION","C0043047","1"
"C0043094","Weight Gain","SIGN_SYMPTOM","C0043094","3"
"C0043144","Wheezing","SIGN_SYMPTOM","C0043144","1"
"C0043240","Wound Healing","OUTCOME","C0043240","1"
"C0043242","Superficial abrasion","SIGN_SYMPTOM","C0043242","1"
"C0043250","Injury wounds","DISEASE_DISORDER","C0043250","10"
"C0043251","Wounds and Injuries","DISEASE_DISORDER","C0043251","1"
"C0043299","Diagnostic radiologic examination","DIAGNOSTIC_PROCEDURE","C0043299","1"
"C0046056","fluorodeoxyglucose F18","MEDICATION","C0046056","2"
"C0054836","carvedilol","MEDICATION","C0054836","2"
"C0054966","CD59 Antigen","THERAPEUTIC_PROCEDURE","C0054966","1"
"C0055633","Chromogranin A","DIAGNOSTIC_PROCEDURE","C0055633","2"
"C0058928","ECHO protocol","DIAGNOSTIC_PROCEDURE","C0058928","10"
"C0060627","FOM protocol","BIOLOGICAL_STRUCTURE","C0060627","1"
"C0061355","Glucagon-Like Peptide 1","MEDICATION","C0061355","1"
"C0063083","Hydrogel","MEDICATION","C0063083","1"
"C0072027","procalcitonin","DIAGNOSTIC_PROCEDURE","C0072027","3"
"C0072523","TFF1 protein, human","LAB_VALUE","C0072523","1"
"C0074830","Somatostatin Receptor","BIOLOGICAL_STRUCTURE","C0074830","1"
"C0075870","tazobactam","MEDICATION","C0075870","1"
"C0076840","torsemide","MEDICATION","C0076840","2"
"C0078414","cisplatin/etoposide protocol","MEDICATION","C0078414","1"
"C0079083","carboplatin","MEDICATION","C0079083","1"
"C0079459","Granulocyte Colony-Stimulating Factor","MEDICATION","C0079459","1"
"C0079611","Immunophenotyping","DIAGNOSTIC_PROCEDURE","C0079611","1"
"C0079740","High Grade Lymphoma (neoplasm)","DISEASE_DISORDER","C0079740","1"
"C0079744","Diffuse Large B-Cell Lymphoma","DISEASE_DISORDER","C0079744","1"
"C0080078","Range of Motion, Articular","BIOLOGICAL_ATTRIBUTE","C0080078","1"
"C0080264","Ultrasonography, Mammary","DIAGNOSTIC_PROCEDURE","C0080264","7"
"C0080274","Urinary Retention","SIGN_SYMPTOM","C0080274","3"
"C0080331","Walking (activity)","ACTIVITY","C0080331","5"
"C0085089","Morphologic artifacts","SIGN_SYMPTOM","C0085089","12"
"C0085134","Cessation of smoking","THERAPEUTIC_PROCEDURE","C0085134","1"
"C0085220","Cerebral Amyloid Angiopathy","DISEASE_DISORDER","C0085220","2"
"C0085255","Synaptophysin","DIAGNOSTIC_PROCEDURE","C0085255","2"
"C0085268","Bone remodeling","OUTCOME","C0085268","3"
"C0085281","Addictive Behavior","DISEASE_DISORDER","C0085281","8"
"C0085405","Salvage Therapy","THERAPEUTIC_PROCEDURE","C0085405","1"
"C0085427","Tibial Arteries","BIOLOGICAL_STRUCTURE","C0085427","2"
"C0085495","Enterococcus faecium","DISEASE_DISORDER","C0085495","1"
"C0085515","Rotator Cuff","BIOLOGICAL_STRUCTURE","C0085515","1"
"C0085532","Coronary angiography","DIAGNOSTIC_PROCEDURE","C0085532","8"
"C0085533","Chemotherapy, Adjuvant","THERAPEUTIC_PROCEDURE","C0085533","1"
"C0085555","Hospice Care","THERAPEUTIC_PROCEDURE","C0085555","3"
"C0085577","Normocytic anemia","DISEASE_DISORDER","C0085577","2"
"C0085593","Chills","SIGN_SYMPTOM","C0085593","1"
"C0085605","Liver Failure","DISEASE_DISORDER","C0085605","1"
"C0085612","Ventricular arrhythmia","DISEASE_DISORDER","C0085612","1"
"C0085614","First degree atrioventricular block","DISEASE_DISORDER","C0085614","1"
"C0085615","Right bundle branch block","DISEASE_DISORDER","C0085615","1"
"C0085623","Akinesia","SIGN_SYMPTOM","C0085623","1"
"C0085631","Agitation","SIGN_SYMPTOM","C0085631","2"
"C0085649","Peripheral edema","SIGN_SYMPTOM","C0085649","2"
"C0085671","Dressing change","THERAPEUTIC_PROCEDURE","C0085671","6"
"C0085678","Nasogastric tube","ADMINISTRATION","C0085678","4"
"C0085806","Andrology","NONBIOLOGICAL_LOCATION","C0085806","1"
"C0085846","Fine-needle biopsy","DIAGNOSTIC_PROCEDURE","C0085846","13"
"C0086143","Diagnostic tests","NONBIOLOGICAL_LOCATION","C0086143","2"
"C0086225","Enteral Feeding","THERAPEUTIC_PROCEDURE","C0086225","1"
"C0086437","Joint laxity","SIGN_SYMPTOM","C0086437","1"
"C0086881","Pulp Canals","BIOLOGICAL_STRUCTURE","C0086881","1"
"C0087086","Thrombus","DISEASE_DISORDER","C0087086","6"
"C0087111","Therapeutic procedure","DOSAGE","C0087111","2"
"C0087130","Uncertainty","SIGN_SYMPTOM","C0087130","1"
"C0122734","Bandages, Hydrocolloid","THERAPEUTIC_PROCEDURE","C0122734","1"
"C0132897","Novoscabin","MEDICATION","C0132897","2"
"C0138741","Prostate-Specific Antigen","DIAGNOSTIC_PROCEDURE","C0138741","1"
"C0140145","APEX1 protein, human","BIOLOGICAL_STRUCTURE","C0140145","7"
"C0144576","paclitaxel","MEDICATION","C0144576","1"
"C0149512","Acute sinusitis","DISEASE_DISORDER","C0149512","1"
"C0149543","Base of skull structure","BIOLOGICAL_STRUCTURE","C0149543","2"
"C0149556","Fourth ventricle structure","BIOLOGICAL_STRUCTURE","C0149556","1"
"C0149601","Structure of conus medullaris","BIOLOGICAL_STRUCTURE","C0149601","1"
"C0149630","Bicuspid aortic valve","DISEASE_DISORDER","C0149630","2"
"C0149783","Steroid therapy","MEDICATION","C0149783","1"
"C0149871","Deep Vein Thrombosis","DISEASE_DISORDER","C0149871","1"
"C0149925","Small cell carcinoma of lung","DISEASE_DISORDER","C0149925","2"
"C0150369","Preventive monitoring","DIAGNOSTIC_PROCEDURE","C0150369","5"
"C0150694","Artificial Airways, Oropharyngeal","THERAPEUTIC_PROCEDURE","C0150694","2"
"C0151514","Atrophic condition of skin","SIGN_SYMPTOM","C0151514","3"
"C0151636","Premature ventricular contractions","SIGN_SYMPTOM","C0151636","3"
"C0151664","Gastrointestinal perforation","DISEASE_DISORDER","C0151664","1"
"C0151740","Intracranial Hypertension","SIGN_SYMPTOM","C0151740","1"
"C0151825","Bone pain","SIGN_SYMPTOM","C0151825","2"
"C0151878","Prolonged QT interval","DIAGNOSTIC_PROCEDURE","C0151878","3"
"C0151936","Disorder of tendon","DISEASE_DISORDER","C0151936","1"
"C0152279","Lateral ventricle structure","BIOLOGICAL_STRUCTURE","C0152279","1"
"C0152287","Lateral aperture of fourth ventricle","BIOLOGICAL_STRUCTURE","C0152287","1"
"C0152424","Common ventricle","BIOLOGICAL_STRUCTURE","C0152424","2"
"C0152452","Fibrosis of pericardium","DISEASE_DISORDER","C0152452","1"
"C0153436","Malignant neoplasm of sigmoid colon","DISEASE_DISORDER","C0153436","2"
"C0153687","Secondary malignant neoplasm of skin","DISEASE_DISORDER","C0153687","1"
"C0153690","Secondary malignant neoplasm of bone","DISEASE_DISORDER","C0153690","1"
"C0162119","Hemoglobin low","SIGN_SYMPTOM","C0162119","2"
"C0162326","DNA Sequence","DIAGNOSTIC_PROCEDURE","C0162326","1"
"C0162429","Malnutrition","DISEASE_DISORDER","C0162429","2"
"C0162481","Doppler Ultrasound (procedure)","DIAGNOSTIC_PROCEDURE","C0162481","5"
"C0162534","Prion Diseases","DIAGNOSTIC_PROCEDURE","C0162534","1"
"C0162577","Angioplasty","THERAPEUTIC_PROCEDURE","C0162577","2"
"C0162701","Polysomnography","DIAGNOSTIC_PROCEDURE","C0162701","7"
"C0162871","Aortic Aneurysm, Abdominal","DISEASE_DISORDER","C0162871","1"
"C0175566","Open","THERAPEUTIC_PROCEDURE","C0175566","2"
"C0175649","Prosthesis","OTHER_ENTITY","C0175649","1"
"C0175730","biomedical tube device","OTHER_ENTITY","C0175730","1"
"C0175895","Calcified (qualifier)","SIGN_SYMPTOM","C0175895","1"
"C0178499","Base","BIOLOGICAL_STRUCTURE","C0178499","2"
"C0178587","density","SIGN_SYMPTOM","C0178587","1"
"C0178602","Dosage","DOSAGE","C0178602","2"
"C0178733","Loudness","SIGN_SYMPTOM","C0178733","2"
"C0178784","Organ","BIOLOGICAL_STRUCTURE","C0178784","1"
"C0178802","Pleural cavity","BIOLOGICAL_STRUCTURE","C0178802","2"
"C0178987","Artificial Airways","BIOLOGICAL_STRUCTURE","C0178987","8"
"C0179031","Ampule","DOSAGE","C0179031","1"
"C0179196","Bag, device","OTHER_ENTITY","C0179196","2"
"C0179419","Breathing bag","OTHER_ENTITY","C0179419","1"
"C0179740","Peripherally inserted central catheter (physical object)","THERAPEUTIC_PROCEDURE","C0179740","1"
"C0180053","Compresses (device)","THERAPEUTIC_PROCEDURE","C0180053","7"
"C0180407","Dialysis units (machines)","NONBIOLOGICAL_LOCATION","C0180407","3"
"C0180453","Laryngoscopes","DIAGNOSTIC_PROCEDURE","C0180453","3"
"C0180499","Drain device","THERAPEUTIC_PROCEDURE","C0180499","1"
"C0180823","Orthodontic Face Mask","ADMINISTRATION","C0180823","1"
"C0180860","Filters","OTHER_ENTITY","C0180860","2"
"C0181162","Cushions, Heel Stirrup","THERAPEUTIC_PROCEDURE","C0181162","1"
"C0181278","Halo brace","SIGN_SYMPTOM","C0181278","1"
"C0181633","Light source","SIGN_SYMPTOM","C0181633","1"
"C0181763","Massage Machines, Physical Therapy","THERAPEUTIC_PROCEDURE","C0181763","1"
"C0181904","Monitor Device","DIAGNOSTIC_PROCEDURE","C0181904","1"
"C0182349","Positron emission tomography unit","NONBIOLOGICAL_LOCATION","C0182349","1"
"C0182370","Esophageal manometer","DIAGNOSTIC_PROCEDURE","C0182370","2"
"C0182537","pump (device)","ADMINISTRATION","C0182537","1"
"C0183129","Echocardiographs","DIAGNOSTIC_PROCEDURE","C0183129","2"
"C0183512","Biliary Stent Devices","THERAPEUTIC_PROCEDURE","C0183512","1"
"C0183663","Stylet, device","OTHER_ENTITY","C0183663","1"
"C0183753","Swab specimen","DIAGNOSTIC_PROCEDURE","C0183753","1"
"C0183828","Biomedical tape","MEDICATION","C0183828","1"
"C0184159","Tracheostomy tube","BIOLOGICAL_STRUCTURE","C0184159","1"
"C0184228","Analyzers, Laboratory, Urine, Automated","DIAGNOSTIC_PROCEDURE","C0184228","1"
"C0184252","Medical Valves","BIOLOGICAL_STRUCTURE","C0184252","12"
"C0184348","Warmer, device","SIGN_SYMPTOM","C0184348","1"
"C0184633","Oxygen Therapy Care","THERAPEUTIC_PROCEDURE","C0184633","7"
"C0184645","Mental health promotion","NONBIOLOGICAL_LOCATION","C0184645","1"
"C0184661","Interventional procedure","THERAPEUTIC_PROCEDURE","C0184661","24"
"C0184666","Hospital admission","CLINICAL_EVENT","C0184666","31"
"C0184908","Partial excision","THERAPEUTIC_PROCEDURE","C0184908","1"
"C0184909","Wedge resection - action","THERAPEUTIC_PROCEDURE","C0184909","1"
"C0184915","Radical amputation","THERAPEUTIC_PROCEDURE","C0184915","1"
"C0184922","Incisional biopsy - action","DIAGNOSTIC_PROCEDURE","C0184922","1"
"C0184936","Removal of sutures","THERAPEUTIC_PROCEDURE","C0184936","1"
"C0185003","Reparative closure","THERAPEUTIC_PROCEDURE","C0185003","7"
"C0189476","Insertion of pleural tube drain","THERAPEUTIC_PROCEDURE","C0189476","1"
"C0189477","Thoracentesis","THERAPEUTIC_PROCEDURE","C0189477","3"
"C0189557","Pleurodesis","THERAPEUTIC_PROCEDURE","C0189557","1"
"C0191234","Pericardiocentesis","THERAPEUTIC_PROCEDURE","C0191234","1"
"C0191237","Drainage of pericardium","THERAPEUTIC_PROCEDURE","C0191237","1"
"C0192153","Partial glossectomy (procedure)","THERAPEUTIC_PROCEDURE","C0192153","2"
"C0192220","Partial pharyngectomy","THERAPEUTIC_PROCEDURE","C0192220","2"
"C0192861","Right colectomy","THERAPEUTIC_PROCEDURE","C0192861","1"
"C0193062","Rectum excision (procedure)","THERAPEUTIC_PROCEDURE","C0193062","3"
"C0193317","Parotidectomy","THERAPEUTIC_PROCEDURE","C0193317","8"
"C0193318","Complete parotidectomy","THERAPEUTIC_PROCEDURE","C0193318","2"
"C0193790","Subtotal thyroidectomy","THERAPEUTIC_PROCEDURE","C0193790","2"
"C0193864","Modified radical neck dissection (procedure)","THERAPEUTIC_PROCEDURE","C0193864","1"
"C0194086","Partial nephrectomy","THERAPEUTIC_PROCEDURE","C0194086","1"
"C0199176","Prophylactic treatment","THERAPEUTIC_PROCEDURE","C0199176","2"
"C0199230","Screening for cancer","DIAGNOSTIC_PROCEDURE","C0199230","1"
"C0199242","Administration of prophylactic anticoagulant","THERAPEUTIC_PROCEDURE","C0199242","2"
"C0199470","Mechanical ventilation","THERAPEUTIC_PROCEDURE","C0199470","1"
"C0199529","Pulmonary rehabilitation (procedure)","NONBIOLOGICAL_LOCATION","C0199529","2"
"C0199900","Rectal examination","DIAGNOSTIC_PROCEDURE","C0199900","1"
"C0200345","Specimen Collection","NONBIOLOGICAL_LOCATION","C0200345","1"
"C0200354","Urine Specimen Collection","DIAGNOSTIC_PROCEDURE","C0200354","1"
"C0200949","Blood culture","DIAGNOSTIC_PROCEDURE","C0200949","2"
"C0201544","Prostate specific antigen measurement","DIAGNOSTIC_PROCEDURE","C0201544","1"
"C0201719","Protein electrophoresis","DIAGNOSTIC_PROCEDURE","C0201719","4"
"C0202024","Free thyroxine index test","DIAGNOSTIC_PROCEDURE","C0202024","1"
"C0202657","CT follow-up","DIAGNOSTIC_PROCEDURE","C0202657","1"
"C0202823","Chest CT","DIAGNOSTIC_PROCEDURE","C0202823","1"
"C0203028","Screening mammography","DIAGNOSTIC_PROCEDURE","C0203028","1"
"C0203668","Radioisotope scan of bone","DIAGNOSTIC_PROCEDURE","C0203668","2"
"C0204096","Neurological Rehabilitation","NONBIOLOGICAL_LOCATION","C0204096","1"
"C0204512","Psychiatric Rehabilitation","NONBIOLOGICAL_LOCATION","C0204512","2"
"C0204695","Feeding patient","THERAPEUTIC_PROCEDURE","C0204695","2"
"C0204727","Isolation procedure","THERAPEUTIC_PROCEDURE","C0204727","3"
"C0204819","Intubation, Nasogastric","THERAPEUTIC_PROCEDURE","C0204819","1"
"C0204977","Home care of patient","THERAPEUTIC_PROCEDURE","C0204977","3"
"C0205042","Coronary artery","BIOLOGICAL_STRUCTURE","C0205042","5"
"C0205052","rectal","BIOLOGICAL_STRUCTURE","C0205052","1"
"C0205081","Moderate (severity modifier)","SEVERITY","C0205081","21"
"C0205082","Severe (severity modifier)","SEVERITY","C0205082","15"
"C0205090","Right","AREA","C0205090","33"
"C0205091","Left","AREA","C0205091","29"
"C0205094","Anterior","AREA","C0205094","2"
"C0205099","Central","DETAILED_DESCRIPTION","C0205099","3"
"C0205100","Peripheral","BIOLOGICAL_STRUCTURE","C0205100","2"
"C0205101","Extrinsic","NONBIOLOGICAL_LOCATION","C0205101","3"
"C0205102","Internal","SIGN_SYMPTOM","C0205102","1"
"C0205108","Distal (qualifier value)","AREA","C0205108","1"
"C0205113","Circumferential","SHAPE","C0205113","1"
"C0205122","Segmental","BIOLOGICAL_STRUCTURE","C0205122","1"
"C0205124","Superficial","DETAILED_DESCRIPTION","C0205124","2"
"C0205125","Deep (qualifier value)","SEVERITY","C0205125","3"
"C0205130","Arcuate shape","SHAPE","C0205130","1"
"C0205146","Area","SIGN_SYMPTOM","C0205146","2"
"C0205154","Along edge (qualifier value)","BIOLOGICAL_STRUCTURE","C0205154","2"
"C0205160","Negative","LAB_VALUE","C0205160","5"
"C0205163","Equal","DETAILED_DESCRIPTION","C0205163","1"
"C0205170","Good","OUTCOME","C0205170","1"
"C0205178","acute","SEVERITY","C0205178","1"
"C0205179","Advanced phase","SEVERITY","C0205179","2"
"C0205183","Benign","QUALITATIVE_CONCEPT","C0205183","3"
"C0205197","Complete","SEVERITY","C0205197","2"
"C0205208","Solid","DETAILED_DESCRIPTION","C0205208","11"
"C0205217","Increased","SIGN_SYMPTOM","C0205217","4"
"C0205219","Diffuse","DETAILED_DESCRIPTION","C0205219","1"
"C0205221","Disseminated","DISEASE_DISORDER","C0205221","4"
"C0205225","Primary","DISEASE_DISORDER","C0205225","1"
"C0205231","Extensive","SEVERITY","C0205231","5"
"C0205233","Firm","TEXTURE","C0205233","3"
"C0205234","Focal","SIGN_SYMPTOM","C0205234","24"
"C0205250","High","SIGN_SYMPTOM","C0205250","1"
"C0205251","low","LAB_VALUE","C0205251","3"
"C0205271","Irregular","SHAPE","C0205271","1"
"C0205272","Regular","FREQUENCY","C0205272","3"
"C0205276","Local","LAB_VALUE","C0205276","1"
"C0205284","Marginal","AREA","C0205284","2"
"C0205307","Normal","LAB_VALUE","C0205307","4"
"C0205321","Penetration","SIGN_SYMPTOM","C0205321","1"
"C0205329","Progressive","DETAILED_DESCRIPTION","C0205329","1"
"C0205332","Reactive","DETAILED_DESCRIPTION","C0205332","11"
"C0205357","Smooth","SHAPE","C0205357","4"
"C0205358","Soft","TEXTURE","C0205358","2"
"C0205360","Stable status","DETAILED_DESCRIPTION","C0205360","5"
"C0205374","Transitory","DURATION","C0205374","1"
"C0205400","Thickened","SIGN_SYMPTOM","C0205400","6"
"C0205402","Prominent","SIGN_SYMPTOM","C0205402","1"
"C0205403","Extreme","SEVERITY","C0205403","1"
"C0205447","One","DOSAGE","C0205447","3"
"C0205448","Two","DOSAGE","C0205448","8"
"C0205449","Three","QUANTITATIVE_CONCEPT","C0205449","4"
"C0205450","Four","QUANTITATIVE_CONCEPT","C0205450","2"
"C0205454","Eight","LAB_VALUE","C0205454","3"
"C0205455","Nine","QUANTITATIVE_CONCEPT","C0205455","2"
"C0205456","Ten","DOSAGE","C0205456","4"
"C0205458","Twelve","DOSAGE","C0205458","2"
"C0205463","Physiological","DETAILED_DESCRIPTION","C0205463","2"
"C0205480","Gynecologic","DIAGNOSTIC_PROCEDURE","C0205480","2"
"C0205489","Dermatologic","DIAGNOSTIC_PROCEDURE","C0205489","2"
"C0205543","Referring","CLINICAL_EVENT","C0205543","331"
"C0205615","Well Differentiated","SEVERITY","C0205615","5"
"C0205616","Moderately differentiated (qualifier value)","LAB_VALUE","C0205616","2"
"C0205617","Poorly differentiated","SEVERITY","C0205617","4"
"C0205618","Undifferentiated","SEVERITY","C0205618","1"
"C0205645","Adenocarcinoma, Tubular","DISEASE_DISORDER","C0205645","3"
"C0205646","Adenoma, Basal Cell","DISEASE_DISORDER","C0205646","1"
"C0205698","Undifferentiated carcinoma","DISEASE_DISORDER","C0205698","2"
"C0206054","Echocardiography, Transesophageal","DIAGNOSTIC_PROCEDURE","C0206054","1"
"C0206077","Ultrasonography, Doppler, Transcranial","DIAGNOSTIC_PROCEDURE","C0206077","1"
"C0206081","Hyperandrogenism","DISEASE_DISORDER","C0206081","1"
"C0206172","Diabetic Foot","NONBIOLOGICAL_LOCATION","C0206172","4"
"C0206630","Endometrial Stromal Sarcoma","THERAPEUTIC_PROCEDURE","C0206630","1"
"C0206685","Acinar Cell Carcinoma","DISEASE_DISORDER","C0206685","6"
"C0206713","Papilloma, Intraductal","DISEASE_DISORDER","C0206713","1"
"C0206754","Neuroendocrine Tumors","DISEASE_DISORDER","C0206754","1"
"C0220633","Uveal melanoma","DISEASE_DISORDER","C0220633","1"
"C0220647","Carcinoma of unknown primary","DISEASE_DISORDER","C0220647","1"
"C0220825","Evaluation","DIAGNOSTIC_PROCEDURE","C0220825","34"
"C0221099","Impaired","SIGN_SYMPTOM","C0221099","1"
"C0221198","Lesion","SIGN_SYMPTOM","C0221198","169"
"C0221204","Lytic lesion","SIGN_SYMPTOM","C0221204","2"
"C0221423","Illness (finding)","NONBIOLOGICAL_LOCATION","C0221423","2"
"C0222007","Structure of nail of toe","BIOLOGICAL_STRUCTURE","C0222007","1"
"C0222084","Skin structure of face","BIOLOGICAL_STRUCTURE","C0222084","1"
